,District name,Agosto,Aprile,Dicembre,Febbraio,Gennaio,Giugno,Luglio,Maggio,Marzo,Novembre,Ottobre,Settembre
0,I - SAN NICOLA,6.0,6.0,5.0,4.0,5.0,6.0,5.0,1.0,4.0,2.0,5.0,8.0
1,II - MURAT,30.0,34.0,39.0,26.0,40.0,30.0,38.0,38.0,37.0,43.0,31.0,32.0
2,III - MADONNELLA,6.0,14.0,10.0,9.0,8.0,5.0,15.0,13.0,12.0,7.0,6.0,6.0
3,IV - LIBERTA',30.0,23.0,24.0,17.0,27.0,28.0,25.0,30.0,17.0,22.0,20.0,24.0
4,IX - STANIC,16.0,6.0,11.0,10.0,12.0,14.0,16.0,19.0,16.0,18.0,13.0,13.0
5,V - JAPIGIA,36.0,23.0,25.0,23.0,16.0,29.0,30.0,27.0,17.0,33.0,26.0,37.0
6,VI - SAN PASQUALE,17.0,21.0,31.0,15.0,20.0,12.0,8.0,18.0,26.0,23.0,22.0,24.0
7,VII - CARRASSI,26.0,21.0,38.0,26.0,28.0,42.0,27.0,33.0,33.0,39.0,45.0,29.0
8,VIII - PICONE,42.0,40.0,49.0,41.0,41.0,40.0,52.0,49.0,42.0,43.0,49.0,56.0
9,X  - MARCONI - SAN GIROLAMO - FESCA,19.0,13.0,27.0,14.0,12.0,13.0,22.0,12.0,18.0,22.0,26.0,35.0
10,XI - SAN PAOLO,14.0,18.0,14.0,9.0,9.0,4.0,11.0,17.0,6.0,13.0,13.0,19.0
11,XII - PALESE - MACCHIE,11.0,10.0,5.0,8.0,15.0,8.0,14.0,11.0,16.0,6.0,9.0,8.0
12,XIII - SANTO SPIRITO,10.0,6.0,7.0,4.0,3.0,7.0,6.0,7.0,5.0,4.0,6.0,8.0
13,XIV - CARBONARA DI BARI,11.0,13.0,16.0,15.0,11.0,16.0,18.0,15.0,15.0,16.0,16.0,18.0
14,XV - CEGLIE DEL CAMPO,1.0,1.0,3.0,2.0,3.0,2.0,5.0,5.0,2.0,2.0,4.0,4.0
15,XVI - LOSETO,,1.0,,,,1.0,,,1.0,1.0,2.0,1.0
16,XVII - TORRE A MARE,12.0,5.0,6.0,3.0,6.0,3.0,12.0,4.0,4.0,5.0,9.0,4.0
